OID_,Area_Geo,AR,Lat_Center,Lon_Center,Diam_Geo,Height_km
0,3709.106882659999883,0.859495060373000,-31.512571340000001,-109.866151791999997,67.760000000000005,0.409000000000000
1,3024.833084039999903,0.963878326996000,10.661571897300000,-89.658778323500002,61.979999999999997,0.789000000000000
2,3481.236143680000168,0.941865001951000,-28.691569253000001,-63.410215850299998,64.700999999999993,2.470000000000000
3,4893.533832389999588,0.921632262853000,34.735478622599999,-83.180247400300004,76.382000000000005,1.245000000000000
4,3006.353676270000051,0.971433156797000,26.387038311400001,-152.261265137000009,61.420000000000002,0.935000000000000
5,2437.348407680000037,0.826217478319000,45.204700670400001,-30.764729332900000,54.750000000000000,0.407000000000000
6,3264.745561040000212,0.852902662593000,-12.746565159099999,-128.020871349000004,63.674999999999997,0.139000000000000
7,4727.409631219999937,0.923746734668000,13.194049443100001,77.835112375099996,77.325000000000003,0.505000000000000
8,3457.694650949999868,0.829831640462000,-17.737740843400001,154.136676596999990,65.754999999999995,0.796000000000000
9,2901.120435209999869,0.970475582509000,-57.016343291699997,164.323396360999993,61.734999999999999,0.465000000000000
10,2263.281983580000087,0.845544205706000,-57.596089201900000,16.114427382799999,52.395000000000003,0.758000000000000
11,3513.563240500000120,0.928162185985000,12.820118959000000,-158.669855992000009,65.625000000000000,1.122000000000000
12,7401.801470039999913,0.911887279222000,18.575850584900000,-57.060369306399998,96.340000000000003,1.743000000000000
13,7570.990599800000382,0.925180854227000,-42.210760797399999,-62.750379427299997,97.135000000000005,0.179000000000000