,OID_,Lat_Center,Lon_Center,Area_Geo,AR,Height_km,Diam_Geo,Length_km,Width_km,Topo
0,0,35.7153414022,-148.642639981,78780.5163673,0.935013784955,2.0702,294.78,304.68,284.88,917.7253545771299
1,1,-31.5450637203,-131.788743168,12848.3646613,0.966341463415,1.566375,120.93,123.0,118.86,1203.5200953515496
2,2,35.9254843152,-122.685856786,72258.2319126,0.940018966335,3.00669230769,286.405,295.26,277.55,-37.711677324726374
3,3,8.59374998006,-104.404575371,33485.4595926,0.969407170038,1.35075,196.665,199.72,193.61,-515.8361598357543
4,4,-1.99927506127,-103.130734387,79362.7931757,0.700193103448,0.62575,308.16,362.5,253.82,-825.5384516110081
5,5,-16.5149020796,-105.016749611,152376.818055,0.896161394861,1.88033333333,415.43,438.18,392.68,1523.6335415930018
6,6,-42.969244713,-102.617824946,38142.1322739,0.99364931123,0.3992,213.47,214.15,212.79,-70.43340149121721
7,7,-12.2911812229,-98.4217959216,170820.682731,0.84211535144,2.1553,480.525,521.71,439.34,955.3226356288642
8,8,25.0389074975,-96.3826515721,293799.664295,0.964066518087,4.3491,572.82,583.3,562.34,1694.830714934235
9,9,52.5233022993,-92.2778103766,115545.118337,0.789536568625,1.1197,351.975,393.37,310.58,-97.18316234240461
10,10,-37.898326749,-90.0286334603,165531.741364,0.986525789593,1.8775,437.135,440.1,434.17,1450.91103117232
11,11,-20.3553423817,-86.9473679591,46535.5853644,0.803566464117,1.241,227.06,251.79,202.33,873.675484822788
12,12,10.1074519626,-85.3685736179,206491.342966,0.886815265508,2.21061538462,483.77,512.79,454.75,1199.1077338143668
13,13,-27.6575551931,-79.3178552928,163056.252786,0.835198393608,1.42226666667,438.695,478.09,399.3,1470.6614550741303
14,14,-17.6946288126,-75.109783768,239680.611581,0.827899565766,3.43452380952,521.975,571.12,472.83,4077.2934608306196
15,15,-45.2799796305,-65.3485600606,40536.393065,0.864535703602,0.644166666667,218.16,234.01,202.31,890.5219928788255
16,16,-21.9604283741,-68.8404544941,57973.9794805,0.917320503331,1.79048275862,259.03,270.2,247.86,1029.8348482573326
17,17,-18.558459168,-67.2412288415,20497.7735571,0.829366268961,0.884409090909,152.56,166.79,138.33,461.8507587555045
18,18,13.6574011419,-68.5016955144,73703.7338169,0.970067132674,1.46722727273,284.655,288.98,280.33,1152.3804245574931
19,19,2.83015808329,-58.5801133436,116413.928063,0.813883946224,1.55427777778,366.985,404.64,329.33,995.0021591826592
20,20,17.7812804896,-56.3726223651,13828.7134226,0.808206514009,1.03171428571,127.135,140.62,113.65,269.48480285642535
21,21,18.5758505849,-57.0603693064,8179.82535767,0.911887279222,1.20426666667,96.34,100.78,91.9,451.621223211044
22,22,36.2235510812,-51.7089603628,19766.4395015,0.87546080118,0.947714285714,152.625,162.76,142.49,-486.72760283469336
23,23,-8.80806524751,-54.7838403759,23694.7149891,0.85695515567,1.6157826087,162.53,175.05,150.01,1696.9405245263433
24,24,-13.6554165479,-54.4819344683,12091.6827563,0.967144413712,0.504739130435,117.35,119.31,115.39,867.873502834314
25,25,2.79319335689,-46.076118556,38958.6219234,0.902402127074,1.61828571429,207.495,218.14,196.85,795.1079783105702
26,26,1.9877265199,-43.5962046063,505272.176984,0.829462532425,1.92981818182,754.635,824.98,684.29,54.90636015852064
27,27,-33.4409843889,-42.6407067415,58293.051998,0.977483238383,1.10845,255.125,258.03,252.22,812.6102522304416
28,28,-43.5429943617,-38.326230961,23489.1474905,0.984121212121,1.5789047619,163.69,165.0,162.38,1227.9870655435543
29,29,-24.5147600062,-36.4786181853,170031.456657,0.967375207892,1.45064705882,431.77,438.93,424.61,1611.1704759442187
30,30,28.488605244,-33.6531657354,12194.3429426,0.934568616097,0.960066666667,116.935,120.89,112.98,-71.26496191730418
31,31,-34.4301991614,-31.4949862562,101956.966367,0.992064189288,2.22252380952,340.135,341.49,338.78,1872.6992486488675
32,32,19.308285389,-16.1239661896,10596.1786754,0.948770491803,0.5574,109.365,112.24,106.49,75.70131485952558
33,33,22.035153885,-15.4105401152,10410.0121631,0.992601388381,0.909571428571,109.075,109.48,108.67,722.4767977743485
34,34,37.6133062029,-17.905466815,14564.5287899,0.881124439948,0.766772727273,130.155,138.38,121.93,-489.9975220628134
35,35,9.39218129759,-11.332333908,69702.6705427,0.991828396323,1.1701875,282.75,283.91,281.59,-444.13804193597593
36,36,-10.883603161,-4.48961082546,43445.3677603,0.906774094671,0.199117647059,217.725,228.37,207.08,-507.6057597514754
37,37,10.8240873904,14.4203751156,339350.75927,0.972037347379,2.21361904762,617.79,626.55,609.03,1885.3972072432357
38,38,14.5460754667,15.6911997911,216785.185726,0.84106741366,1.60086956522,499.5,542.62,456.38,1450.6607900731892
39,39,-37.8422375448,23.6135511203,68378.4844022,0.960585857888,0.745388888889,283.785,289.49,278.08,674.9521149124223
40,40,9.27181641241,29.1112443119,121421.551811,0.95258005038,2.80331578947,375.94,385.07,366.81,1726.2055469551428
41,41,0.756458109311,34.4226264028,74452.55572,0.918986331438,2.85372222222,288.51,300.69,276.33,2914.8496684295014
42,42,29.7401881165,44.853476281,42499.5601606,0.729199372057,5.16653333333,220.3,254.8,185.8,4471.042250382043
43,43,2.67236800375,45.5670784124,60718.8760349,0.959504256762,2.033375,260.085,265.46,254.71,1844.6464699583526
44,44,38.6407054756,54.5389695737,110158.33697,0.931027073485,1.39579310345,359.48,372.32,346.64,643.5783822126697
45,45,15.8856649631,69.9283277631,165800.56426,0.845063059531,1.46556,423.525,459.09,387.96,1055.8311275774122
46,46,62.9981059169,119.677914988,78867.6025617,0.795499021526,1.18171428571,284.425,316.82,252.03,1190.3904110406434
47,47,17.9129873922,163.291661723,26656.0340566,0.917846559104,0.766052631579,174.735,182.22,167.25,215.06534495171562
48,48,-15.2975195433,-144.583410006,140820.227793,0.896032962821,1.16688888889,395.74,417.44,374.04,1041.922589737937
49,49,-25.6739386013,-112.441285097,66775.0055472,0.975213794062,0.886833333333,284.095,287.66,280.53,516.033147553859
50,50,9.49962126462,-150.54246974,72175.9976287,0.888244023083,3.51341176471,286.305,303.25,269.36,1932.224461624788
51,51,13.2965127738,-149.063628305,11581.0457807,0.848258106042,1.596,114.86,124.29,105.43,1019.6937668352448
52,52,-34.6516665752,-133.707617366,16297.3433008,0.801240208877,0.8239,137.975,153.2,122.75,348.9505233572684
53,53,14.3650497248,-118.839488811,284079.378183,0.989804933211,3.31593333333,563.075,565.96,560.19,-470.9262657462771
54,54,14.0963113795,-113.012439378,29636.5157999,0.698169509642,0.906,190.645,224.53,156.76,152.91753868181078
55,55,-31.9545690958,99.7098321312,62182.4495868,0.883612258205,2.26373684211,259.995,276.06,243.93,1553.833060616349
56,56,40.7101226614,-114.835255854,220628.268095,0.911682146154,0.4512,507.37,530.81,483.93,-145.0166274628905
57,57,35.3092312661,-140.548467749,211480.914165,0.895538420225,2.30117647059,494.11,521.34,466.88,2182.041089707113
58,58,14.4681405473,-155.11835132,213398.872516,0.991978719051,2.5915,486.74,488.7,484.78,1966.0169177619284
59,59,9.92923048999,-159.312939302,24132.2591323,0.96902971715,1.108,164.985,167.58,162.39,1955.9297241402558
60,60,26.0187626922,-162.586078793,40095.9058556,0.885140240921,1.12578571429,212.05,224.97,199.13,873.9625615877078
61,61,39.278031191,-151.878736726,19429.6399827,0.952093023256,0.845863636364,146.895,150.5,143.29,-322.48367962601935
62,62,39.8941610272,-156.801457192,9699.30548054,0.942415730337,1.30935294118,103.725,106.8,100.65,-87.29787938475297
63,63,71.9027487533,-104.823367351,367281.478978,0.943468970643,2.07129166667,627.585,645.84,609.33,1542.522026970592
64,64,79.7040835526,-96.20948335000001,53588.4171996,0.490750164641,0.3835,249.0,334.06,163.94,-349.2254206542001
65,65,9.03265798454,-140.790550784,33162.3941951,0.844801512287,1.8115625,195.18,211.6,178.76,3019.9235603252455
66,66,12.3033120918,-133.444430399,198859.468334,0.993828595583,2.86310526316,471.69,473.15,470.23,1217.9682899960635
67,67,44.7495158303,-175.168354313,22590.9163485,0.970113531758,1.5278125,160.515,162.95,158.08,428.8178513970566
68,68,10.8095047746,174.237511534,17451.7164658,0.836415646621,1.36886666667,138.025,150.32,125.73,827.4966384951433
69,69,39.6580925444,-165.935620585,45914.2013137,0.96616843799,1.32905882353,232.175,236.17,228.18,-90.14568200346447
70,70,32.8420447794,-121.256301639,86836.0948764,0.984084542908,1.34376923077,311.66,314.16,309.16,1162.743062104747
71,71,22.1928394538,-120.365869817,65245.8314055,0.858706293706,2.0512,265.795,286.0,245.59,1433.8645070671807
72,72,23.9069782166,-79.8194481572,139213.054289,0.957780577583,2.55806666667,396.245,404.79,387.7,4975.630481913935
73,73,32.3947089876,-77.0947543285,461906.014857,0.963108243002,3.90686666667,698.15,711.27,685.03,966.2068141917637
74,74,20.3688532553,-171.412127491,114006.573066,0.881953335249,2.72184615385,360.14,382.73,337.55,2534.7768073329794
75,75,8.82084210932,-171.9913852,44687.4862499,0.705615639053,1.91489473684,229.465,269.07,189.86,3785.339965508591
76,76,3.64519698439,-159.783412168,263238.330017,0.831661505318,3.08905882353,544.15,594.16,494.14,4552.581112909842
77,77,0.852580911176,-165.326403176,62905.3952748,0.915425531915,4.97558823529,270.075,282.0,258.15,8703.115873577794
78,78,-2.1528621365,-165.265397007,115246.961469,0.957876467023,5.95669230769,355.335,362.98,347.69,5548.576991848477
79,79,-46.6074844617,-145.35690072,36217.4831285,0.950959902795,2.40572222222,200.705,205.75,195.66,3235.773518132275
80,80,-21.3432159383,-121.206557594,19999.9534036,0.891156036803,0.7197,151.075,159.77,142.38,410.3840088662818
81,81,-37.7811118465,-113.485494955,158087.305107,0.915033405101,0.890043478261,431.39,450.53,412.25,612.7930098191589
82,82,-44.5509154966,-86.6887389603,54373.2234269,0.709982997328,1.71015,246.4,288.19,204.61,836.6290449631573
83,83,-27.0969529436,-87.0721499738,45912.4533338,0.803934763677,1.66714285714,227.855,252.62,203.09,1786.540989303478
84,84,19.0929253319,-91.6846375528,86181.3132852,0.905954454953,0.820411764706,306.325,321.44,291.21,162.4924147201899
85,85,57.519898389,-105.10886167,100471.320825,0.925179499876,1.65905,388.79,403.9,373.68,929.4451639293626
86,86,76.0467537089,-124.288980115,34998.1601805,0.986192143135,1.40323076923,204.26,205.68,202.84,1722.6060157324046
87,87,-41.9029115358,41.5656849726,43912.4881708,0.869181612039,0.631782608696,226.685,242.55,210.82,43.00039242358995
88,88,-34.1772405287,86.3812694785,89804.9742404,0.999188108918,1.974,320.11,320.24,319.98,1370.7407983025423
89,89,53.0266140819,150.905535394,12315.6287334,0.829575700642,0.530952380952,116.855,127.74,105.97,107.38935022529007
90,90,2.71963705322,172.857445443,45565.2558766,0.88732692552,0.616666666667,222.865,236.17,209.56,425.8190917745733
91,91,-9.50305678306,-51.9114917599,50379.5362754,0.822244851776,0.788235294118,241.575,265.14,218.01,716.5378141276431
92,92,-38.289894106,-56.5406675354,23162.9403854,0.752178383937,1.43778571429,161.875,184.77,138.98,2333.6539976982217
93,93,-38.8740014722,-35.3215659139,109724.950363,0.853840239667,1.64818181818,349.625,377.19,322.06,2243.5079465926237
94,94,21.7787742998,-8.15159804316,37517.3745632,0.805227322644,1.87644444444,205.48,227.65,183.31,2278.711763903395
95,95,8.68713650602,-52.4763760765,634913.777744,0.676610491982,1.981125,863.555,1030.12,696.99,365.30853181495235
96,96,13.876539227,-45.2195840708,201585.719419,0.84211535144,0.812473684211,480.525,521.71,439.34,-395.8678960317097
97,97,13.8843171717,161.576289876,30974.8877642,0.843399356035,1.39029166667,188.93,204.98,172.88,779.9848321171849
98,98,-47.5175853561,58.1692604021,17328.9335372,0.891801682776,0.632428571429,136.03,143.81,128.25,185.98946272698942
99,99,-43.9657667126,-51.0533702019,115665.209725,0.863769165137,1.15861904762,360.425,386.77,334.08,548.052311146602
100,100,-55.4850528427,57.0878060763,65528.43244,0.946006912862,0.41,267.43,274.85,260.01,890.0056141037049
101,101,-69.6870787531,86.9668816432,84162.9282357,0.820609649255,0.448523809524,301.32,331.01,271.63,6.472651798903884
102,102,-6.18784182956,-60.7374970725,24300.5273066,0.623925397057,1.51785714286,167.175,205.89,128.46,2526.3281426748154
103,103,6.82411263231,158.178511229,24585.3689355,0.909688013136,0.884571428571,162.82,170.52,155.12,616.4276081290249
104,104,8.97918352274,171.568563743,200603.933874,0.832362521556,0.9595,478.155,521.9,434.41,48.07416508821476
105,105,29.9183157416,48.7196302037,524342.794806,0.825318590482,4.92476,768.45,841.99,694.91,1471.314890051997
106,106,22.6550321894,-1.32926716939,129198.170627,0.858591454309,2.73714285714,385.825,415.18,356.47,2021.1685716689603
107,107,29.5043222589,-4.69931134208,12302.5257752,0.902935985882,0.457111111111,118.61,124.66,112.56,196.2891685328993
108,108,-6.39193322351,172.302960528,18971.642569,0.782563219098,0.939947368421,144.86,162.53,127.19,890.4024451612897
109,109,-8.21249672174,-117.081522137,131979.550528,0.960459606125,1.09404166667,384.75,392.51,376.99,463.4822951509416
110,110,-7.13132319606,-138.24536756,144801.789424,0.895806073962,3.60296,412.935,435.63,390.24,2070.1751229529887
111,111,3.5449289281,-89.9615315591,10233.6898099,0.958411040656,2.67425,105.01,107.24,102.78,1683.1984802426769
112,112,-10.7040644455,173.069983411,106559.866005,0.949257425743,2.81156,346.5,355.52,337.48,2689.928741094608
113,113,65.6389195556,-81.5881391001,89104.9146495,0.496836857082,0.909243243243,318.235,425.21,211.26,-153.78666437412502
114,114,-11.0072048574,-148.681794966,60384.8050887,0.878753685437,2.07539130435,258.075,274.73,241.42,1587.319956957378
115,115,-8.96685386721,-145.73165925,148818.793467,0.945191215449,1.79956,410.98,422.56,399.4,1542.7530804803832
116,116,32.0523393892,-115.612135029,18362.1845112,0.819770684847,1.01985714286,146.81,161.35,132.27,-4.362576529745115
117,117,-59.2416204743,56.7477864715,28596.7791942,0.853975,0.0,175.765,187.23,164.3,344.0951747092306
